1.687,0.445,2.332,0.429,Slight-Right-Turn
1.687,0.449,2.332,0.429,Slight-Right-Turn
1.687,0.449,2.334,0.429,Slight-Right-Turn
1.687,0.449,2.334,0.429,Slight-Right-Turn
1.687,0.449,2.334,0.429,Slight-Right-Turn
1.686,0.446,2.334,0.430,Slight-Right-Turn
1.684,0.451,2.330,0.432,Slight-Right-Turn
1.680,0.453,2.327,0.436,Slight-Right-Turn
0.753,0.457,2.323,0.442,Sharp-Right-Turn
0.744,0.462,2.321,0.449,Sharp-Right-Turn
0.735,0.467,2.315,0.457,Sharp-Right-Turn
0.729,0.469,2.310,0.465,Sharp-Right-Turn
0.723,0.477,2.303,0.472,Sharp-Right-Turn
0.757,0.480,2.304,0.476,Sharp-Right-Turn
0.760,0.483,2.306,0.476,Sharp-Right-Turn
0.757,0.482,2.307,0.474,Sharp-Right-Turn
0.761,0.482,1.700,0.473,Sharp-Right-Turn
0.762,0.482,1.697,0.473,Sharp-Right-Turn
0.765,0.482,1.697,0.473,Sharp-Right-Turn
0.812,0.481,1.702,0.473,Sharp-Right-Turn
0.814,0.480,1.700,0.473,Sharp-Right-Turn
0.811,0.479,1.698,0.473,Sharp-Right-Turn
0.908,0.478,1.700,0.473,Slight-Right-Turn
1.270,0.477,1.705,0.473,Slight-Right-Turn
1.639,0.476,1.707,0.470,Slight-Right-Turn
1.638,0.475,1.712,0.465,Slight-Right-Turn
1.637,0.474,1.715,0.465,Slight-Right-Turn
1.636,0.475,1.707,0.470,Slight-Right-Turn
1.635,0.475,1.706,0.468,Slight-Right-Turn
1.635,0.475,1.706,0.468,Slight-Right-Turn
1.635,0.475,1.709,0.468,Slight-Right-Turn
1.635,0.475,1.709,0.468,Slight-Right-Turn
1.633,0.475,1.707,0.469,Slight-Right-Turn
1.629,0.474,1.708,0.471,Slight-Right-Turn
1.624,0.473,1.704,0.474,Slight-Right-Turn
1.618,0.473,1.695,0.478,Slight-Right-Turn
1.611,0.473,2.596,0.483,Slight-Right-Turn
1.609,0.472,2.589,0.488,Slight-Right-Turn
1.603,0.471,1.682,0.494,Slight-Right-Turn
0.576,0.471,1.670,0.500,Sharp-Right-Turn
1.581,0.471,1.662,0.506,Slight-Right-Turn
1.572,0.471,1.654,0.513,Slight-Right-Turn
1.562,0.470,1.646,0.523,Slight-Right-Turn
1.553,0.470,1.637,0.530,Slight-Right-Turn
1.179,0.470,1.631,0.534,Slight-Right-Turn
1.167,0.470,2.541,0.545,Slight-Right-Turn
1.159,0.471,2.535,0.552,Slight-Right-Turn
1.151,0.471,2.529,0.582,Slight-Right-Turn
1.143,0.471,2.526,0.582,Slight-Right-Turn
1.136,0.471,2.523,0.578,Slight-Right-Turn
1.128,0.472,2.518,0.588,Slight-Right-Turn
1.477,0.472,2.508,0.585,Slight-Right-Turn
1.129,0.473,2.502,0.589,Slight-Right-Turn
1.457,0.473,2.502,0.597,Slight-Right-Turn
1.448,0.474,2.901,0.605,Slight-Right-Turn
1.438,0.475,2.895,0.613,Slight-Right-Turn
1.428,0.486,2.890,0.617,Slight-Right-Turn
1.418,0.485,2.885,0.629,Slight-Right-Turn
1.409,0.486,2.879,0.575,Slight-Right-Turn
1.399,0.485,2.876,0.578,Slight-Right-Turn
1.390,0.486,2.871,0.650,Slight-Right-Turn
1.380,0.487,2.862,0.658,Slight-Right-Turn
1.370,0.489,2.857,0.666,Slight-Right-Turn
1.361,0.491,2.852,0.674,Slight-Right-Turn
1.354,0.494,2.849,0.683,Slight-Right-Turn
1.344,0.496,2.843,0.692,Move-Forward
1.330,0.498,2.836,0.701,Move-Forward
1.320,0.499,2.830,0.710,Move-Forward
1.310,0.501,2.824,0.719,Move-Forward
1.298,0.504,2.816,0.730,Move-Forward
1.285,0.507,2.810,0.742,Move-Forward
1.271,0.511,2.800,0.756,Move-Forward
1.256,0.515,2.789,0.771,Move-Forward
1.239,0.520,2.777,0.787,Move-Forward
1.223,0.525,2.766,0.807,Move-Forward
1.206,0.530,2.753,0.611,Move-Forward
1.188,0.535,2.741,0.621,Move-Forward
1.170,0.541,2.727,0.859,Move-Forward
1.152,0.548,2.713,0.878,Move-Forward
1.133,0.554,2.699,0.897,Move-Forward
1.114,0.560,2.685,0.917,Move-Forward
1.094,0.567,2.671,0.937,Move-Forward
1.075,0.573,2.656,0.956,Move-Forward
1.056,0.580,2.643,0.975,Move-Forward
1.037,0.586,2.629,0.994,Move-Forward
1.019,0.593,2.612,1.013,Move-Forward
1.001,0.599,2.599,1.031,Move-Forward
0.983,0.606,2.586,1.052,Move-Forward
0.966,0.612,2.573,1.071,Move-Forward
0.948,0.619,2.561,1.088,Move-Forward
0.931,0.625,2.548,1.106,Move-Forward
0.914,0.632,2.536,1.123,Move-Forward
0.898,0.638,2.524,1.137,Sharp-Right-Turn
0.881,0.645,2.511,1.155,Sharp-Right-Turn
0.864,0.652,2.499,1.172,Sharp-Right-Turn
0.847,0.658,2.487,1.193,Sharp-Right-Turn
0.830,0.660,2.475,1.211,Sharp-Right-Turn
0.815,0.662,2.464,1.226,Sharp-Right-Turn
0.801,0.667,2.454,1.241,Sharp-Right-Turn
0.792,0.670,2.450,1.249,Sharp-Right-Turn
0.792,0.665,2.452,1.248,Sharp-Right-Turn
0.795,0.666,2.469,1.241,Sharp-Right-Turn
0.796,0.665,2.491,1.239,Sharp-Right-Turn
0.796,0.665,2.495,1.239,Sharp-Right-Turn
0.796,0.665,2.484,1.240,Sharp-Right-Turn
0.799,0.664,2.478,1.239,Sharp-Right-Turn
0.799,0.664,2.463,1.239,Sharp-Right-Turn
0.798,0.664,2.467,1.239,Sharp-Right-Turn
0.799,0.664,2.464,1.239,Sharp-Right-Turn
0.798,0.663,2.469,1.242,Sharp-Right-Turn
0.797,0.666,2.741,0.719,Sharp-Right-Turn
0.792,0.671,1.354,0.717,Sharp-Right-Turn
0.791,0.684,1.353,0.714,Sharp-Right-Turn
0.790,0.674,1.353,0.733,Sharp-Right-Turn
0.789,0.660,2.749,0.732,Sharp-Right-Turn
