1.687,0.445,Slight-Right-Turn
1.687,0.449,Slight-Right-Turn
1.687,0.449,Slight-Right-Turn
1.687,0.449,Slight-Right-Turn
1.687,0.449,Slight-Right-Turn
1.686,0.446,Slight-Right-Turn
1.684,0.451,Slight-Right-Turn
1.680,0.453,Slight-Right-Turn
0.753,0.457,Sharp-Right-Turn
0.744,0.462,Sharp-Right-Turn
0.735,0.467,Sharp-Right-Turn
0.729,0.469,Sharp-Right-Turn
0.723,0.477,Sharp-Right-Turn
0.757,0.480,Sharp-Right-Turn
0.760,0.483,Sharp-Right-Turn
0.757,0.482,Sharp-Right-Turn
0.761,0.482,Sharp-Right-Turn
0.762,0.482,Sharp-Right-Turn
0.765,0.482,Sharp-Right-Turn
0.812,0.481,Sharp-Right-Turn
0.814,0.480,Sharp-Right-Turn
0.811,0.479,Sharp-Right-Turn
0.908,0.478,Slight-Right-Turn
1.270,0.477,Slight-Right-Turn
1.639,0.476,Slight-Right-Turn
1.638,0.475,Slight-Right-Turn
1.637,0.474,Slight-Right-Turn
1.636,0.475,Slight-Right-Turn
1.635,0.475,Slight-Right-Turn
1.635,0.475,Slight-Right-Turn
1.635,0.475,Slight-Right-Turn
1.635,0.475,Slight-Right-Turn
1.633,0.475,Slight-Right-Turn
1.629,0.474,Slight-Right-Turn
1.624,0.473,Slight-Right-Turn
1.618,0.473,Slight-Right-Turn
1.611,0.473,Slight-Right-Turn
1.609,0.472,Slight-Right-Turn
1.603,0.471,Slight-Right-Turn
0.576,0.471,Sharp-Right-Turn
1.581,0.471,Slight-Right-Turn
1.572,0.471,Slight-Right-Turn
1.562,0.470,Slight-Right-Turn
1.553,0.470,Slight-Right-Turn
1.179,0.470,Slight-Right-Turn
1.167,0.470,Slight-Right-Turn
1.159,0.471,Slight-Right-Turn
1.151,0.471,Slight-Right-Turn
1.143,0.471,Slight-Right-Turn
1.136,0.471,Slight-Right-Turn
1.128,0.472,Slight-Right-Turn
1.477,0.472,Slight-Right-Turn
1.129,0.473,Slight-Right-Turn
1.457,0.473,Slight-Right-Turn
1.448,0.474,Slight-Right-Turn
1.438,0.475,Slight-Right-Turn
1.428,0.486,Slight-Right-Turn
1.418,0.485,Slight-Right-Turn
1.409,0.486,Slight-Right-Turn
1.399,0.485,Slight-Right-Turn
1.390,0.486,Slight-Right-Turn
1.380,0.487,Slight-Right-Turn
1.370,0.489,Slight-Right-Turn
1.361,0.491,Slight-Right-Turn
1.354,0.494,Slight-Right-Turn
1.344,0.496,Move-Forward
1.330,0.498,Move-Forward
1.320,0.499,Move-Forward
1.310,0.501,Move-Forward
1.298,0.504,Move-Forward
1.285,0.507,Move-Forward
1.271,0.511,Move-Forward
1.256,0.515,Move-Forward
1.239,0.520,Move-Forward
1.223,0.525,Move-Forward
1.206,0.530,Move-Forward
1.188,0.535,Move-Forward
1.170,0.541,Move-Forward
1.152,0.548,Move-Forward
1.133,0.554,Move-Forward
1.114,0.560,Move-Forward
1.094,0.567,Move-Forward
1.075,0.573,Move-Forward
1.056,0.580,Move-Forward
1.037,0.586,Move-Forward
1.019,0.593,Move-Forward
1.001,0.599,Move-Forward
0.983,0.606,Move-Forward
0.966,0.612,Move-Forward
0.948,0.619,Move-Forward
0.931,0.625,Move-Forward
0.914,0.632,Move-Forward
0.898,0.638,Sharp-Right-Turn
0.881,0.645,Sharp-Right-Turn
0.864,0.652,Sharp-Right-Turn
0.847,0.658,Sharp-Right-Turn
0.830,0.660,Sharp-Right-Turn
0.815,0.662,Sharp-Right-Turn
0.801,0.667,Sharp-Right-Turn
0.792,0.670,Sharp-Right-Turn
0.792,0.665,Sharp-Right-Turn
0.795,0.666,Sharp-Right-Turn
0.796,0.665,Sharp-Right-Turn
0.796,0.665,Sharp-Right-Turn
0.796,0.665,Sharp-Right-Turn
0.799,0.664,Sharp-Right-Turn
0.799,0.664,Sharp-Right-Turn
0.798,0.664,Sharp-Right-Turn
0.799,0.664,Sharp-Right-Turn
0.798,0.663,Sharp-Right-Turn
0.797,0.666,Sharp-Right-Turn
0.792,0.671,Sharp-Right-Turn
0.791,0.684,Sharp-Right-Turn
0.790,0.674,Sharp-Right-Turn
0.789,0.660,Sharp-Right-Turn
0.788,0.660,Sharp-Right-Turn
0.787,0.659,Sharp-Right-Turn
0.786,0.661,Sharp-Right-Turn
0.785,0.665,Sharp-Right-Turn
0.788,0.717,Sharp-Right-Turn
0.787,0.833,Sharp-Right-Turn
0.790,0.779,Sharp-Right-Turn
0.814,0.668,Sharp-Right-Turn
0.807,0.809,Sharp-Right-Turn
0.786,0.805,Sharp-Right-Turn
0.785,0.804,Sharp-Right-Turn
0.787,0.854,Sharp-Right-Turn
0.791,0.800,Sharp-Right-Turn
0.794,0.786,Sharp-Right-Turn
0.814,0.780,Sharp-Right-Turn
0.880,0.776,Sharp-Right-Turn
1.593,0.774,Move-Forward
1.593,0.770,Move-Forward
1.593,0.765,Move-Forward
1.593,0.765,Move-Forward
1.592,0.763,Move-Forward
1.591,0.763,Move-Forward
1.590,0.763,Move-Forward
1.588,0.763,Move-Forward
1.586,0.758,Move-Forward
1.576,0.759,Move-Forward
1.566,0.753,Move-Forward
1.555,0.751,Move-Forward
0.932,0.745,Move-Forward
1.525,0.739,Move-Forward
1.508,0.733,Move-Forward
1.494,0.727,Move-Forward
1.473,0.721,Move-Forward
1.454,0.715,Move-Forward
1.438,0.707,Move-Forward
